Ferrari,McLaren,Difference,Ferrari points,McLaren points
1 & 2,3 & 6,21,44,23
1 & 2,4 & 5,22,44,22
1 & 3,2 & 9,21,41,20
1 & 3,4 & 6,21,41,20
1 & 4,3 & 9,21,38,17
1 & 4,5 & 7,22,38,16
1 & 5,3 & 11,21,36,15
1 & 5,4 & 9,22,36,14
1 & 5,6 & 7,22,36,14
1 & 6,4 & 10,21,34,13
1 & 6,5 & 9,22,34,12
1 & 6,7 & 8,24,34,10
1 & 7,5 & 10,21,32,11
1 & 7,6 & 9,22,32,10
1 & 8,6 & 10,21,30,9
1 & 8,7 & 9,22,30,8
1 & 9,7 & 10,21,28,7
1 & 10,7 & 11,21,27,6
1 & 10,8 & 9,21,27,6
1 & 11,8 & 10,21,26,5
2 & 3,4 & 11,22,34,12
2 & 3,5 & 9,22,34,12
2 & 3,6 & 8,22,34,12
2 & 4,6 & 10,22,31,9
2 & 4,7 & 9,23,31,8
2 & 5,7 & 10,22,29,7
2 & 5,8 & 9,23,29,6
2 & 6,8 & 10,22,27,5
2 & 7,9 & 10,22,25,3
2 & 8,10 & 11,22,23,1
3 & 4,7 & 11,22,28,6
3 & 4,8 & 9,22,28,6
3 & 5,8 & 11,22,26,4
3 & 5,9 & 10,23,26,3
3 & 6,9 & 11,22,24,2
3 & 7,11 & 12,22,22,0
4 & 5,10 & 11,22,23,1
